text,label,predicted,probabilities,confidence,is_correct
你#走#的#那天#风#很大#，#火化#的#时候#还#诈尸#，#一直#喊#没#死#，#最后#用#铁链#绑#着#烧#完#的#。#火#很#旺#，#家属#很#坚强#一个#哭#的#都#没有#，#甚至#有#一个#忍不住#笑#出声#。#路上#灵车#翻#了#骨灰盒#摔#了#，#刚要#捧#点灰来#了#一辆#洒水车#，#众人#只好#把#混#着#泥巴#的#骨灰#，#随便#捧#点#埋#了#，#不久#之后#坟头#拆迁#，#上面#开#了#家#迪厅#，#每天#重复#播放#今天#是#个#好日子#。,1,1,"[6.938354636076838e-05, 0.9999306201934814]",0.9999306201934814,True
鬼啊,1,1,"[0.00010631140321493149, 0.9998936653137207]",0.9998936653137207,True
撸主啊,1,1,"[0.00012079400039510801, 0.9998792409896851]",0.9998792409896851,True
医疗团队协作提高医疗服务质量 ,0,0,"[0.9999146461486816, 8.536798850400373e-05]",0.9999146461486816,True
同学们积极参加科技创新活动，培养创新精神 ,0,0,"[0.999886155128479, 0.00011385412653908134]",0.999886155128479,True
他会在假期里去徒步旅行，挑战自己的体力和耐力，欣赏自然风光 ,0,0,"[0.9998379945755005, 0.00016192361363209784]",0.9998379945755005,True
鄙视*你们,1,1,"[0.00010708762420108542, 0.9998929500579834]",0.9998929500579834,True
他喜欢看漫画书籍，放松心情，享受幽默的故事和画面，激发自己的想象力和创造力 ,0,0,"[0.9998350143432617, 0.0001649677287787199]",0.9998350143432617,True
特别笑我,1,1,"[8.583113958593458e-05, 0.9999141693115234]",0.9999141693115234,True
点儿~背,1,1,"[0.00011283168714726344, 0.9998871088027954]",0.9998871088027954,True
温暖而感人的文字 ,0,0,"[0.9996784925460815, 0.0003215149918105453]",0.9996784925460815,True
活该单身,1,1,"[7.906992686912417e-05, 0.9999209642410278]",0.9999209642410278,True
特别纯爷们,1,1,"[6.93968468112871e-05, 0.9999306201934814]",0.9999306201934814,True
秀下限,1,1,"[8.103630534606054e-05, 0.9999189376831055]",0.9999189376831055,True
gou样,1,1,"[0.00013910356210544705, 0.9998608827590942]",0.9998608827590942,True
哭成,1,1,"[0.000103093268990051, 0.9998968839645386]",0.9998968839645386,True
直男癌了,1,1,"[8.664601773489267e-05, 0.9999133348464966]",0.9999133348464966,True
非常心眼小,1,1,"[7.914551679277793e-05, 0.9999208450317383]",0.9999208450317383,True
你走的那天风很大，火化的时候还诈尸，一直喊没死，最后用铁链绑着烧完的。火很旺，家属很坚强一个哭的都没有，甚至有一个忍不住笑出声。路上灵车翻了骨灰盒摔了，刚要捧点灰来了一辆洒水车，众人只好把混着泥巴的骨灰，随便捧点埋了，不久之后坟头拆迁，上面开了家迪厅厅，每天重复播放今天是个好日子。,1,1,"[7.417661981889978e-05, 0.9999258518218994]",0.9999258518218994,True
我有空的时候会去参加艺术工作坊，学习新的艺术技能 ,0,0,"[0.9997476935386658, 0.0002523351286072284]",0.9997476935386658,True
非常鄙视你们,1,1,"[0.0002310515264980495, 0.9997689127922058]",0.9997689127922058,True
秀.下限,1,1,"[7.016033487161621e-05, 0.9999297857284546]",0.9999297857284546,True
逼-逼-逼,1,1,"[8.886423165677115e-05, 0.9999110698699951]",0.9999110698699951,True
社会发展更加稳定 ,0,0,"[0.9996614456176758, 0.00033858331153169274]",0.9996614456176758,True
好你的嘴简直能给农田施肥,1,1,"[9.09778245841153e-05, 0.9999090433120728]",0.9999090433120728,True
骂人是不对的，妈妈都有教过，什么？他们没🐎 ，哦，那怪不得,1,1,"[8.288954995805398e-05, 0.9999171495437622]",0.9999171495437622,True
励志在挑战中绽放自信与勇气迎接未来的挑战与机遇 ,0,0,"[0.9998470544815063, 0.0001529442670289427]",0.9998470544815063,True
真逼逼逼,1,1,"[9.928916551871225e-05, 0.9999006986618042]",0.9999006986618042,True
你永远是我最亲密的人 ,0,0,"[0.9998586177825928, 0.0001414050202583894]",0.9998586177825928,True
撸 主,1,1,"[0.0001236105599673465, 0.9998763799667358]",0.9998763799667358,True
长城要是用你脸皮做的 孟姜女能哭倒才怪,1,1,"[8.155493560479954e-05, 0.9999184608459473]",0.9999184608459473,True
城外三十里火光冲天烧的的就是你飘零的骨灰,1,1,"[0.0002946844615507871, 0.9997052550315857]",0.9997052550315857,True
制药企业加强药品研发项目沟通协调能力提升计划制定活动，明确提升目标和措施 ,0,0,"[0.999908447265625, 9.153684368357062e-05]",0.999908447265625,True
产业升级更加深入 ,0,0,"[0.9997773766517639, 0.00022259964316617697]",0.9997773766517639,True
好心眼小,1,1,"[0.00010345321061322466, 0.9998965263366699]",0.9998965263366699,True
我.看.你.是.土狗.打.饱嗝.-.屎.吃.多.了,1,1,"[6.467177445301786e-05, 0.9999352693557739]",0.9999352693557739,True
逗逗逗,1,1,"[0.0001012079810607247, 0.9998987913131714]",0.9998987913131714,True
合作前景灿烂美好充满希望 ,0,0,"[0.9998811483383179, 0.00011879226804012433]",0.9998811483383179,True
笑 我,1,1,"[0.00012278436042834073, 0.9998772144317627]",0.9998772144317627,True
内容很充实.学到很多 ,0,0,"[0.9998630285263062, 0.0001369514357065782]",0.9998630285263062,True
太秀下限,1,1,"[7.367989019257948e-05, 0.9999263286590576]",0.9999263286590576,True
真希望你的脑子里都装的是电容，可惜，有些人偏偏装了电阻。”,1,1,"[8.799124043434858e-05, 0.9999120235443115]",0.9999120235443115,True
好傻妞,1,1,"[0.00010383856715634465, 0.9998961687088013]",0.9998961687088013,True
《项目启动资源准备》：做好项目启动资源准备，确保项目顺利启动 ,0,0,"[0.9998143315315247, 0.00018566957442089915]",0.9998143315315247,True
白*瞎,1,1,"[9.958993905456737e-05, 0.9999003410339355]",0.9999003410339355,True
你走的那天风很大，火化的时候还诈尸，一直喊没死，最后用铁链绑着烧完的。火很旺，家属很坚强一个哭的都没有，甚至有一个忍不住笑出声。路上灵车翻了骨灰盒摔了，刚要捧点灰来了一辆洒水车，众人只好把混着泥巴的骨灰，随便捧点埋了，不久之后坟头拆迁，上面开了家迪厅，每天重复播放今天是个好ri子。,1,1,"[7.023719081189483e-05, 0.9999297857284546]",0.9999297857284546,True
亮剑.吧.，.我.没.的.是.素质.，.你.没.的.是.亲妈,1,1,"[6.682336243102327e-05, 0.999933123588562]",0.999933123588562,True
圣人蛋,1,1,"[9.961264004232362e-05, 0.9999003410339355]",0.9999003410339355,True
真亮剑吧，我没的是素质，你没的是亲妈,1,1,"[7.435628504026681e-05, 0.9999256134033203]",0.9999256134033203,True
你走的那天风很大，火化的时候还诈尸，一直喊没死，最后用铁链绑着烧完的。火很旺，家属很很坚强一个哭的都没有，甚至有一个忍不住笑出声。路上灵车翻了骨灰盒摔了，刚要捧点灰来了一辆洒水车，众人只好把混着泥巴的骨灰，随便捧点埋了，不久之后坟头拆迁，上面开了家迪厅，每天重复播放今天是个好日子。,1,1,"[7.472598372260109e-05, 0.9999252557754517]",0.9999252557754517,True
感恩每一个值得珍惜的时刻与回忆带来的温暖与感动丰富人生的情感与体验 ,0,0,"[0.9999094009399414, 9.058687282958999e-05]",0.9999094009399414,True
医学研究应关注心理健康和精神疾病的防治 ,0,0,"[0.9998223185539246, 0.00017775937158148736]",0.9998223185539246,True
男票,1,1,"[0.0002555679529905319, 0.9997444748878479]",0.9997444748878479,True
医疗护理废物处理创新保护环境安全 ,0,0,"[0.9998691082000732, 0.0001308626087848097]",0.9998691082000732,True
商业合作互利共赢共同成长 ,0,0,"[0.9998962879180908, 0.00010374137491453439]",0.9998962879180908,True
产品质量上乘可靠赢得信赖 ,0,0,"[0.9998632669448853, 0.00013669050531461835]",0.9998632669448853,True
医院开展医疗联合体绩效评估，提高医疗联合体运行效率 ,0,0,"[0.9999018907546997, 9.806283196667209e-05]",0.9999018907546997,True
《采购合同管理规范》：规范采购合同管理，降低采购风险 ,0,0,"[0.9997939467430115, 0.00020608166232705116]",0.9997939467430115,True
太看你儿子是做老师的，天天去爬山,1,1,"[8.343196532223374e-05, 0.9999165534973145]",0.9999165534973145,True
特别最逗,1,1,"[8.478920790366828e-05, 0.9999152421951294]",0.9999152421951294,True
医院加强医院医疗安全应急管理，提高应对突发医疗安全事件的能力 ,0,0,"[0.9998811483383179, 0.00011887522850884125]",0.9998811483383179,True
我最爱的人就是你 ,0,0,"[0.9998218417167664, 0.00017824377573560923]",0.9998218417167664,True
特别某男,1,1,"[8.149825589498505e-05, 0.9999184608459473]",0.9999184608459473,True
好#屌,1,1,"[9.078178845811635e-05, 0.9999091625213623]",0.9999091625213623,True
艺术研讨深入务实为艺术发展献策 ,0,0,"[0.9998703002929688, 0.00012967422662768513]",0.9998703002929688,True
医疗护理服务均等化实现公平护理 ,0,0,"[0.9998401403427124, 0.00015985140635166317]",0.9998401403427124,True
我们一家人会去游乐园玩游乐设施，体验刺激的感觉，享受亲子时光，增进家人之间的感情和互动 ,0,0,"[0.9998856782913208, 0.00011432432802394032]",0.9998856782913208,True
细胞生物学研究生命基础 ,0,0,"[0.9997977614402771, 0.00020228368521202356]",0.9997977614402771,True
你丫,1,1,"[0.00011097714741481468, 0.9998890161514282]",0.9998890161514282,True
美术作品展示独具匠心展现艺术风格 ,0,0,"[0.9998327493667603, 0.0001672537182457745]",0.9998327493667603,True
专业素养很高.佩服 ,0,0,"[0.9998565912246704, 0.00014340215420816094]",0.9998565912246704,True
好白瞎,1,1,"[9.907447383739054e-05, 0.9999009370803833]",0.9999009370803833,True
欠.抽,1,1,"[7.888066465966403e-05, 0.9999210834503174]",0.9999210834503174,True
你走的那天风很大，火化的时候还诈尸，一直喊没死，最后用铁链绑着烧完的。火很旺，家属很坚强一个哭的都没有，甚至有一个忍不住笑出声。路上灵车翻了骨灰盒摔了，刚要捧点灰来了一辆洒水车，众人只好把混着泥巴的骨灰，随便捧点埋了，不久之后后坟头拆迁，上面开了家迪厅，每天重复播放今天是个好日子。,1,1,"[7.492120494134724e-05, 0.9999250173568726]",0.9999250173568726,True
她每天都会和家人通电话，关心彼此的生活，分享快乐和烦恼，增强家庭的凝聚力和温暖感，提升自己的家庭观念和亲情意识，培养自己的沟通能力和情感表达能力 ,0,0,"[0.9997532963752747, 0.0002466934092808515]",0.9997532963752747,True
典型相关分析可以研究两组变量之间的相关性 ,0,0,"[0.9997887015342712, 0.00021126159117557108]",0.9997887015342712,True
特别看你儿子是做老师的，天天去爬山,1,1,"[7.729588833171874e-05, 0.9999227523803711]",0.9999227523803711,True
键盘_侠,1,1,"[9.926312486641109e-05, 0.9999006986618042]",0.9999006986618042,True
畜生不如,1,1,"[7.777619612170383e-05, 0.9999222755432129]",0.9999222755432129,True
你*的*嘴*简直*能*给*农田*施肥,1,1,"[9.385618614032865e-05, 0.9999061822891235]",0.9999061822891235,True
好纯爷们,1,1,"[8.265638462034985e-05, 0.9999173879623413]",0.9999173879623413,True
直男癌吧,1,1,"[9.149757534032688e-05, 0.999908447265625]",0.999908447265625,True
很烦,1,1,"[0.00010954481695080176, 0.9998904466629028]",0.9998904466629028,True
欢乐的美食之旅满足味蕾与心灵的渴望体验不同的文化与风味丰富生活的乐趣与享受 ,0,0,"[0.9998960494995117, 0.00010395359277026728]",0.9998960494995117,True
你。走。的。那天。风。很大。，。火化。的。时候。还。诈尸。，。一直。喊。没。死。，。最后。用。铁链。绑。着。烧。完。的。。。火。很。旺。，。家属。很。坚强。一个。哭。的。都。没有。，。甚至。有。一个。忍不住。笑。出声。。。路上。灵车。翻。了。骨灰盒。摔。了。，。刚要。捧。点灰来。了。一辆。洒水车。，。众人。只好。把。混。着。泥巴。的。骨灰。，。随便。捧。点。埋。了。，。不久。之后。坟头。拆迁。，。上面。开。了。家。迪厅。，。每天。重复。播放。今天。是。个。好日子。。,1,1,"[7.239959813887253e-05, 0.9999276399612427]",0.9999276399612427,True
创新驱动作用显著 ,0,0,"[0.9998718500137329, 0.00012807789607904851]",0.9998718500137329,True
你.爸.今晚.连夜.庭院.种.枇杷树,1,1,"[7.585476851090789e-05, 0.9999241828918457]",0.9999241828918457,True
你不去当厨子可惜了，甩锅甩得那么厉害。,1,1,"[9.040151053341106e-05, 0.9999096393585205]",0.9999096393585205,True
逼样啊,1,1,"[0.00011600957805057988, 0.9998840093612671]",0.9998840093612671,True
没觉悟,1,1,"[0.00010416503937449306, 0.9998958110809326]",0.9998958110809326,True
看您这逻辑，直肠通大脑吧的,1,1,"[0.00010932724399026483, 0.9998906850814819]",0.9998906850814819,True
“真希望你的脑子里都装的是电容，可惜，有些人偏偏装了电阻。”,1,1,"[7.512181036872789e-05, 0.999924898147583]",0.999924898147583,True
看笑,1,1,"[0.0001233217481058091, 0.9998766183853149]",0.9998766183853149,True
真逼样,1,1,"[0.0001090180448954925, 0.999890923500061]",0.999890923500061,True
教育质量稳步提升 ,0,0,"[0.99982750415802, 0.00017245080380234867]",0.99982750415802,True
心存感激.保持乐观.明天会更好 ,0,0,"[0.9990924596786499, 0.0009075856651179492]",0.9990924596786499,True
白瞎啊,1,1,"[0.0001018023831420578, 0.9998981952667236]",0.9998981952667236,True
键盘侠了,1,1,"[0.00013436823792289943, 0.9998656511306763]",0.9998656511306763,True
说*人家,1,1,"[0.00012586545199155807, 0.9998741149902344]",0.9998741149902344,True
（莫斯密码的 NMSL）,1,1,"[0.0021151879336684942, 0.9978848099708557]",0.9978848099708557,True
城外三十里火光冲天烧的就是你你飘零的骨灰,1,1,"[0.000429336738307029, 0.9995706677436829]",0.9995706677436829,True
同事们一起参加团队建设活动，增强团队的合作和信任，提高团队的效率和绩效，展现团队的风采和实力，锻炼自己的团队合作能力和领导能力，培养自己的职业素养和团队精神 ,0,0,"[0.999843955039978, 0.00015604855434503406]",0.999843955039978,True
Innovative clinical practice of medical nursing serves patients' health. Medical nursing clinical practice innovation: medical nursing clinical practice innovation; patients' health: patients' health ,0,0,"[0.999869704246521, 0.00013028849207330495]",0.999869704246521,True
感谢你给我的甜蜜 ,0,0,"[0.9998705387115479, 0.0001294572721235454]",0.9998705387115479,True
鸟样,1,1,"[0.00013165913696866482, 0.9998682737350464]",0.9998682737350464,True
医疗护理服务流程优化提高效率 ,0,0,"[0.9999179840087891, 8.202062599593773e-05]",0.9999179840087891,True
分析很细致.感谢分享 ,0,0,"[0.9998934268951416, 0.00010661444684956223]",0.9998934268951416,True
好操你妹,1,1,"[0.00010296102846041322, 0.9998970031738281]",0.9998970031738281,True
你走的那天风很大，火化的时候还诈尸，一直喊没死，最后用铁链绑着烧完的。火很旺，家属很坚强一个哭的都没有，甚至有一个忍不住笑出声。路上灵车翻了骨灰盒摔了，刚要捧点灰来来了一辆洒水车，众人只好把混着泥巴的骨灰，随便捧点埋了，不久之后坟头拆迁，上面开了家迪厅，每天重复播放今天是个好日子。,1,1,"[7.47905796742998e-05, 0.9999252557754517]",0.9999252557754517,True
你。的。嘴。简直。能。给。农田。施肥,1,1,"[7.832473056623712e-05, 0.9999216794967651]",0.9999216794967651,True
我无语了的,1,1,"[8.130947389872745e-05, 0.9999186992645264]",0.9999186992645264,True
几斤几两自己把握分寸 不是什么货色都能活下去,1,1,"[0.00010475283488631248, 0.9998952150344849]",0.9998952150344849,True
好城外三十里火光冲天烧的就是你飘零的骨灰,1,1,"[0.00016362032329197973, 0.9998363256454468]",0.9998363256454468,True
脑子#转#不过#弯#可以#，#但别#进水,1,1,"[7.91512502473779e-05, 0.9999208450317383]",0.9999208450317383,True
文学活动创意满满激发文学热情 ,0,0,"[0.9999005794525146, 9.940578456735238e-05]",0.9999005794525146,True
艹你妹,1,1,"[0.00010492939327377826, 0.9998950958251953]",0.9998950958251953,True
真鄙视你们,1,1,"[9.532732656225562e-05, 0.9999046325683594]",0.9999046325683594,True
美术作品展示独具匠心展现艺术风格 ,0,0,"[0.9998327493667603, 0.0001672537182457745]",0.9998327493667603,True
太特特,1,1,"[0.00011737689783331007, 0.9998825788497925]",0.9998825788497925,True
亮剑吧，我没的是素质，你没的是亲妈啊,1,1,"[7.899214688222855e-05, 0.9999209642410278]",0.9999209642410278,True
保持微笑.温暖前行 ,0,0,"[0.9994290471076965, 0.0005709694814868271]",0.9994290471076965,True
诗歌朗诵情感真挚传递文学力量 ,0,0,"[0.9999047517776489, 9.529152885079384e-05]",0.9999047517776489,True
笑疯,1,1,"[0.00011100043047918007, 0.9998890161514282]",0.9998890161514282,True
咋-了,1,1,"[0.00015306900604628026, 0.9998469352722168]",0.9998469352722168,True
认真完成项目总结，积累项目经验 ,0,0,"[0.9998568296432495, 0.00014315171574708074]",0.9998568296432495,True
犊子吧,1,1,"[0.0001153347548097372, 0.9998846054077148]",0.9998846054077148,True
骚娘们吧,1,1,"[8.4215949755162e-05, 0.9999157190322876]",0.9999157190322876,True
好烂话,1,1,"[0.0001279516873182729, 0.999872088432312]",0.999872088432312,True
你爸今晚夜庭院种枇杷树,1,1,"[9.776060323929414e-05, 0.9999022483825684]",0.9999022483825684,True
你走的那天风很大，火化的时候还诈尸，一直喊没死，最后用铁链绑着烧完的。火很旺，家属很坚强一个哭的都没有，甚至有一个忍不住笑出声。路上灵车翻了骨灰盒摔了，刚要捧点灰来了一辆洒水车，，众人只好把混着泥巴的骨灰，随便捧点埋了，不久之后坟头拆迁，上面开了家迪厅，每天重复播放今天是个好日子。,1,1,"[7.398121670121327e-05, 0.999925971031189]",0.999925971031189,True
极品 前任,1,1,"[9.469666110817343e-05, 0.9999053478240967]",0.9999053478240967,True
太极品前任,1,1,"[8.944745786720887e-05, 0.9999105930328369]",0.9999105930328369,True
我们的回忆最珍贵 ,0,0,"[0.999884843826294, 0.00011511028424138203]",0.999884843826294,True
非常撸主,1,1,"[8.639495354145765e-05, 0.9999135732650757]",0.9999135732650757,True
制药企业加强药品研发项目风险管理信息化系统升级活动，提高风险管理信息化水平 ,0,0,"[0.9998973608016968, 0.00010261933493893594]",0.9998973608016968,True
确保人人享有医疗服务 ,0,0,"[0.999450147151947, 0.0005498755490407348]",0.999450147151947,True
极前任,1,1,"[8.765717211645097e-05, 0.9999123811721802]",0.9999123811721802,True
你大爷,1,1,"[0.00010777070565382019, 0.9998922348022461]",0.9998922348022461,True
你走的那天风很大，火化的时候还诈尸，一直喊没死，最后用铁链绑着烧完的。火很旺，家属属很坚强一个哭的都没有，甚至有一个忍不住笑出声。路上灵车翻了骨灰盒摔了，刚要捧点灰来了一辆洒水车，众人只好把混着泥巴的骨灰，随便捧点埋了，不久之后坟头拆迁，上面开了家迪厅，每天重复播放今天是个好日子。,1,1,"[7.30446627130732e-05, 0.9999269247055054]",0.9999269247055054,True
非常狗样,1,1,"[8.083324792096391e-05, 0.9999191761016846]",0.9999191761016846,True
纯.爷们,1,1,"[7.380350871244445e-05, 0.9999262094497681]",0.9999262094497681,True
Health check-ups detect diseases early. Health check-ups: health check-ups; early detection: early detection ,0,0,"[0.9996895790100098, 0.0003104284405708313]",0.9996895790100098,True
真的好,1,1,"[0.20698142051696777, 0.793018639087677]",0.793018639087677,True
请问您对这个决定满意吗? ,0,0,"[0.9997033476829529, 0.0002966690226458013]",0.9997033476829529,True
比样,1,1,"[0.00015006831381469965, 0.9998499155044556]",0.9998499155044556,True
好键盘侠,1,1,"[0.00015064969193190336, 0.9998493194580078]",0.9998493194580078,True
不仗义,1,1,"[9.195319580612704e-05, 0.9999080896377563]",0.9999080896377563,True
我们希望能获得您的认可 ,0,0,"[0.9998138546943665, 0.00018614035798236728]",0.9998138546943665,True
《采购成本降低方法》：介绍采购成本降低方法，降低采购成本 ,0,0,"[0.9997554421424866, 0.0002445375721435994]",0.9997554421424866,True
营养治疗支持身体恢复 ,0,0,"[0.9999021291732788, 9.788747411221266e-05]",0.9999021291732788,True
真踏马,1,1,"[0.00010728652705438435, 0.9998927116394043]",0.9998927116394043,True
操你大爷,1,1,"[0.00010605977877276018, 0.9998939037322998]",0.9998939037322998,True
你|走|的|那天|风|很大|，|火化|的|时候|还|诈尸|，|一直|喊|没|死|，|最后|用|铁链|绑|着|烧|完|的|。|火|很|旺|，|家属|很|坚强|一个|哭|的|都|没有|，|甚至|有|一个|忍不住|笑|出声|。|路上|灵车|翻|了|骨灰盒|摔|了|，|刚要|捧|点灰来|了|一辆|洒水车|，|众人|只好|把|混|着|泥巴|的|骨灰|，|随便|捧|点|埋|了|，|不久|之后|坟头|拆迁|，|上面|开|了|家|迪厅|，|每天|重复|播放|今天|是|个|好日子|。,1,1,"[7.105666009010747e-05, 0.9999289512634277]",0.9999289512634277,True
她每天都会看一部电影，放松心情，感受不同的故事和情感，丰富自己的内心世界和人生体验，提升自己的情感认知和表达能力，培养自己的艺术素养和审美能力 ,0,0,"[0.9998774528503418, 0.00012249374412931502]",0.9998774528503418,True
好尼马,1,1,"[0.00010001592454500496, 0.9998999834060669]",0.9998999834060669,True
瓦特了,1,1,"[0.00011514453944982961, 0.999884843826294]",0.999884843826294,True
屌炸天,1,1,"[8.593547681812197e-05, 0.9999140501022339]",0.9999140501022339,True
放松肌肉、促进血液循环 ,0,0,"[0.9997982382774353, 0.000201806120458059]",0.9997982382774353,True
码骂,1,1,"[0.00010122140520252287, 0.9998987913131714]",0.9998987913131714,True
解释得非常清楚.受益良多 ,0,0,"[0.9998779296875, 0.00012200787023175508]",0.9998779296875,True
医疗应急救援保障公共安全 ,0,0,"[0.9998998641967773, 0.00010016109445132315]",0.9998998641967773,True
绿茶婊,1,1,"[8.275386790046468e-05, 0.9999172687530518]",0.9999172687530518,True
欠抽吧,1,1,"[0.00010866952652577311, 0.9998912811279297]",0.9998912811279297,True
你的的嘴简直能给农田施肥,1,1,"[8.577042899560183e-05, 0.9999141693115234]",0.9999141693115234,True
努力奋斗的人最棒 ,0,0,"[0.9977878332138062, 0.002212181920185685]",0.9977878332138062,True
脑子转不过弯可以，但别进水,1,1,"[9.217469778377563e-05, 0.9999078512191772]",0.9999078512191772,True
艺术讲座内容丰富传授艺术知识 ,0,0,"[0.9998899698257446, 0.00011007287685060874]",0.9998899698257446,True
戏精,1,1,"[0.00010691049828892574, 0.999893069267273]",0.999893069267273,True
你走的那天风很大，，火化的时候还诈尸，一直喊没死，最后用铁链绑着烧完的。火很旺，家属很坚强一个哭的都没有，甚至有一个忍不住笑出声。路上灵车翻了骨灰盒摔了，刚要捧点灰来了一辆洒水车，众人只好把混着泥巴的骨灰，随便捧点埋了，不久之后坟头拆迁，上面开了家迪厅，每天重复播放今天是个好日子。,1,1,"[7.289450149983168e-05, 0.9999270439147949]",0.9999270439147949,True
逼逼逼,1,1,"[0.00010227703023701906, 0.9998977184295654]",0.9998977184295654,True
你是我的专属天使 ,0,0,"[0.9998607635498047, 0.00013924887753091753]",0.9998607635498047,True
商务谈判策略得当争取最大利益 ,0,0,"[0.9997779726982117, 0.00022209003509487957]",0.9997779726982117,True
会议组织精心细致确保成功 ,0,0,"[0.9998817443847656, 0.00011821686348412186]",0.9998817443847656,True
你+麻痹,1,1,"[8.708893437869847e-05, 0.9999128580093384]",0.9999128580093384,True
想和你一起白头到老 ,0,0,"[0.9998500347137451, 0.00014995502715464681]",0.9998500347137451,True
全特啊,1,1,"[8.971157512860373e-05, 0.9999102354049683]",0.9999102354049683,True
白~瞎,1,1,"[9.741982648847625e-05, 0.999902606010437]",0.999902606010437,True
感恩那些给予我们勇气的人 ,0,0,"[0.9997779726982117, 0.0002220726601080969]",0.9997779726982117,True
你的长相很提神的说！🙊(～￣▽￣)～,1,1,"[0.00023617970873601735, 0.9997637867927551]",0.9997637867927551,True
看您这逻辑，直肠通大脑吧,1,1,"[0.00013707946345675737, 0.9998629093170166]",0.9998629093170166,True
看你儿子是做老师的，天天去爬山了,1,1,"[9.863491141004488e-05, 0.9999014139175415]",0.9999014139175415,True
泥马,1,1,"[9.693906031316146e-05, 0.9999030828475952]",0.9999030828475952,True
分析很专业.学习了 ,0,0,"[0.9998608827590942, 0.000139067618874833]",0.9998608827590942,True
你要么闭嘴，要么藏好你的妈,1,1,"[9.908203355735168e-05, 0.9999009370803833]",0.9999009370803833,True
玛德,1,1,"[0.00011832175368908793, 0.9998816251754761]",0.9998816251754761,True
咦，你嘴咋这么臭呢？刚吃吃完屎？,1,1,"[8.250314567703754e-05, 0.9999175071716309]",0.9999175071716309,True
亮剑吧，，我没的是素质，你没的是亲妈,1,1,"[7.492049189750105e-05, 0.9999250173568726]",0.9999250173568726,True
每个人都有妈妈，而你就不一样了，你不是人,1,1,"[8.49744028528221e-05, 0.9999150037765503]",0.9999150037765503,True
不是东西,1,1,"[0.00012322266411501914, 0.9998767375946045]",0.9998767375946045,True
真真的好人,1,1,"[0.002119665499776602, 0.9978803396224976]",0.9978803396224976,True
科技创新成果丰硕 ,0,0,"[0.9998483657836914, 0.0001516402408014983]",0.9998483657836914,True
作屄,1,1,"[0.00010767948697321117, 0.9998923540115356]",0.9998923540115356,True
真看你儿子是做老师的，天天去爬山,1,1,"[8.122772123897448e-05, 0.9999188184738159]",0.9999188184738159,True
缺根弦啊,1,1,"[0.00013548150309361517, 0.9998644590377808]",0.9998644590377808,True
极品前任啊,1,1,"[0.00011054897186113521, 0.9998894929885864]",0.9998894929885864,True
励志在挫折中奋起直追 ,0,0,"[0.9957633018493652, 0.004236726090312004]",0.9957633018493652,True
我-看-你-是-土狗-打-饱嗝---屎-吃-多-了,1,1,"[7.033947622403502e-05, 0.999929666519165]",0.999929666519165,True
