A,score
太尼玛,1
我没错,1
不长记性,1
口亨,1
浪费表情,1
圣母病,1
想草,1
嘴太贱,1
夸你,1
玩儿蛋去,1
日妈,1
好恶心,1
得了吧,1
狗说,1
姐们,1
太天真,1
装孙子,1
骂骂,1
人模狗样,1
穷鬼,1
我讨厌你,1
死三八,1
败家孩子,1
我是人渣,1
这丫,1
无语啊,1
吐个槽,1
屌炸,1
屌丝吧,1
傻得可以,1
猪脑袋,1
没脑,1
女人说,1
嘤嘤嘤,1
抽他,1
装无辜,1
滚蛋吧,1
小心眼儿,1
臭婊子,1
鄙视,1
你你,1
狗样,1
被操,1
不知所谓,1
自作多情,1
草蛋,1
犯蠢,1
被分手,1
文艺狗,1
你咬我啊,1
怂成,1
我难过,1
草草草,1
blx,1
他特,1
闺蜜说,1
自以为事,1
俗不可耐,1
自干五,1
你看你,1
哭哭哭,1
抠脚大汉,1
烦啊,1
小笨蛋,1
真汉子,1
笑炸,1
qnmd,1
作大死,1
熊包,1
矫情的话,1
我这种人,1
悲桑,1
懒得搭理,1
瞎叨,1
花样作死,1
瞎闹,1
你想多了,1
没逼格,1
早他妈,1
傻孩纸,1
婊来,1
你朋友,1
爆粗口,1
拽什么拽,1
我我,1
浪贱,1
真骂,1
我很生气,1
不丢人,1
傻得,1
被洗脑,1
女屌,1
思想龌龊,1
搞毛,1
大骗子,1
嘴臭,1
笑话吧,1
蠢极,1
伪球迷,1
嘴真贱,1
死渣,1
满口脏话,1
什么素质,1
我装,1
x小姐,1
二五八万,1
死脑经,1
好屌,1
大半夜,1
算毛,1
下贱,1
别鸟,1
玩我,1
砍死他,1
小瘪三,1
瞎了,1
丫了,1
臭狗,1
jiba,1
装深沉,1
死小孩,1
男票,1
屌炸天,1
流氓的,1
要饭的,1
牛逼牛,1
忧桑,1
瞎搞,1
大贱,1
撕逼,1
姑娘啊,1
扇他,1
图森破,1
伪文艺,1
nnd,1
卖批,1
成狗,1
哭瞎,1
我妹,1
为毛,1
超不爽,1
谁谁谁,1
挺事,1
又丑,1
丫别,1
老子有钱,1
抽疯,1
傻呆,1
特恨,1
丫得,1
没心眼,1
不是东西,1
为嘛,1
哈别,1
没人爱,1
滚滚滚,1
人有病,1
女人啊,1
婊里婊气,1
挺服,1
可笑,1
犯2,1
韩国棒子,1
男默女泪,1
噁心,1
操完,1
狗血,1
你看不起,1
段子手,1
娘娘腔,1
没本事,1
大帅比,1
黑出翔,1
善良的我,1
鬼啊,1
看你不爽,1
说哥,1
钓鱼贴,1
讨嫌,1
毛事,1
那二货,1
大笨蛋,1
丫特,1
长得丑,1
知足吧,1
我无聊,1
啥玩意,1
怨妇,1
白眼狼,1
坑爹啊,1
觉得恶心,1
浪逼,1
我错了吗,1
绝逼会,1
太幼稚,1
爹妈,1
不会爱了,1
嘲笑,1
烦透,1
那谁谁,1
小学生吧,1
没责任心,1
最恶心,1
逼大,1
哈怂,1
能得瑟,1
权限狗,1
此奥,1
你滚,1
负分,1
二逼货,1
瘦猴,1
混蛋,1
受虐狂,1
喜欢吹牛,1
乃们,1
傻女孩,1
真累,1
人贱,1
好搞笑,1
人啊,1
很正常啊,1
智障,1
逼狗,1
更渣,1
婊一,1
才特,1
屁民,1
弱暴,1
搞笑啊,1
干的漂亮,1
大白痴,1
我姐,1
发个牢骚,1
删了,1
说别,1
素质低,1
某男,1
逊毙,1
顾小北,1
小王八,1
逼组,1
一样傻,1
没追求,1
当屁放,1
好姑娘,1
阿呸,1
恬不知耻,1
鸡贼,1
她妈,1
装叉,1
你姐,1
傻必,1
废柴,1
想我,1
我很难过,1
这姐,1
逗比们,1
伪文青,1
牛13,1
低素质,1
瞎扯淡,1
我要发泄,1
来打我啊,1
讨厌你,1
老妹儿,1
丢人,1
小逗,1
我只能说,1
老说,1
拎不清,1
那姑娘,1
懒得说,1
天惹,1
感觉我,1
eex,1
死蠢,1
逼养,1
遭报应,1
给跪了,1
泼妇,1
牛掰,1
可耻,1
像个傻瓜,1
伪摇,1
傻叼,1
长的丑,1
笑死人,1
咋地,1
屌丝思维,1
骂着,1
心理变态,1
犯浑,1
自个儿,1
懦夫,1
它娘,1
太搞笑,1
哭啊,1
傻大个儿,1
做死,1
我烦,1
小骚货,1
挺作,1
装逼时,1
屮艸芔茻,1
阿q,1
心疼你,1
坟蛋,1
回骂,1
骂架,1
我就这样,1
可笑的事,1
骂爹骂娘,1
我损,1
装屎,1
是我活该,1
外地逼,1
事儿多,1
玩蛋去,1
这装,1
网络喷子,1
非主流,1
笑她,1
真渣,1
妈炸,1
没疯,1
血妈,1
好烦,1
其实我是,1
一笑而过,1
特么装,1
女疯子,1
傻瓜一样,1
姑凉,1
啊啊啊啊,1
怂得,1
伪愤青,1
你好逗,1
狗……,1
丑的,1
qtmd,1
蓝人,1
他蠢,1
不鸟,1
躺着中枪,1
小孩纸,1
无语了,1
我的闺蜜,1
口淫,1
不想干,1
很拽,1
愤世嫉俗,1
醒醒吧,1
土肥圆,1
烦了,1
烂话,1
懒得理,1
死要面子,1
别理,1
傻里傻气,1
讨厌自己,1
怂狗,1
疯婆娘,1
中笑点,1
死开,1
垃圾人,1
咋了,1
劳纸,1
意淫,1
逗闷子,1
冷笑话,1
多贱,1
开喷,1
怎么骂,1
笑cry,1
太得瑟,1
狗鸡巴,1
我哭,1
最操,1
敢骂,1
最特,1
特爱装,1
被嘲讽,1
尼玛比,1
傻爆,1
单蠢,1
嘴脏,1
这骂,1
分手吧,1
死女人,1
删楼,1
强盗逻辑,1
坑爹货,1
废物点心,1
破鞋,1
蛮蠢,1
再贱,1
我懂,1
我后悔了,1
逼女,1
删我,1
太二逼,1
特码,1
那个女生,1
男盆友,1
好无奈,1
别傻了,1
你放屁,1
洗洗睡吧,1
没家教,1
挂逼,1
心眼小,1
很幼稚,1
要疯了,1
人艰不拆,1
瓜批,1
操操,1
我不服气,1
凭毛,1
坑他,1
失恋,1
真丧,1
好渣,1
一傻叉,1
人呐,1
搞对象,1
瓜货,1
傻咯,1
哎呀妈呀,1
太能作,1
拉黑,1
跟我说话,1
妈骂,1
啥都不懂,1
想哭了,1
心塞塞,1
个骚,1
恨死,1
傻呵呵,1
真屌丝,1
那丫,1
逗你玩儿,1
厚脸皮,1
不懂幽默,1
自私男,1
无病呻吟,1
逼别,1
爱谁谁吧,1
傻大头,1
自找虐,1
膈应人,1
我怒,1
想红想,1
基友,1
我会说,1
磨叽,1
吊毛,1
浪费生命,1
骂老婆,1
逼装,1
老狗,1
立牌坊,1
浪费感情,1
傻得可爱,1
瞎装,1
反骂,1
老想,1
缺根弦,1
四不四,1
不搭理,1
大流氓,1
我舍,1
看不惯,1
想哭,1
你丑,1
吊炸天,1
找事儿,1
猥琐,1
踩到屎,1
真受,1
一万遍,1
手哥,1
作天作地,1
杯具,1
小屌丝,1
草泥马,1
吧唧,1
现女友,1
闹心,1
早特,1
蓝盆友,1
快死,1
很坏很坏,1
没担当,1
精分,1
fzl,1
室友,1
臭b,1
大贱人,1
太作,1
呵呵呵,1
我就喜欢,1
啥呀,1
跟我,1
急眼,1
嘴毒,1
装女,1
死啊,1
牛皮哄哄,1
这智商,1
素质差,1
穷疯了,1
猪啊,1
内些,1
你别笑,1
唱歌难听,1
超级自私,1
懦弱的人,1
笨蛋,1
嘴特贱,1
特么该,1
哈哈哈哈,1
可以滚,1
榆木脑袋,1
笑啊,1
哭哭,1
装蛋,1
哈哈哈,1
那种人,1
魔怔,1
一个傻瓜,1
你他,1
娇情,1
呢啊,1
懂么,1
毁我三观,1
最无聊,1
干啥,1
笑抽,1
骂说,1
太事,1
幼稚,1
死了活该,1
真爷们儿,1
畜生不如,1
膈应,1
豁批犯,1
傻男,1
破小孩,1
坑啊,1
不好笑,1
没情趣,1
给跪,1
想拉黑,1
宿友,1
小受,1
公知,1
笑笑笑,1
操死,1
小破孩,1
各种婊,1
牛逼大,1
没前途,1
土老冒,1
注孤,1
坏淫,1
鸟事,1
唉呀妈呀,1
装酷,1
二蛋,1
你老板,1
讨人嫌,1
真当,1
我最牛逼,1
嘴损,1
戏精,1
爱骂人,1
好想哭,1
骗成,1
憨货,1
大嘴巴子,1
极品男友,1
装逼女,1
看笑,1
不吹牛,1
真醉,1
关我屁事,1
失恋的人,1
娘希匹,1
搞笑吧,1
哈哈真,1
傻乎乎,1
会吹牛,1
傻才,1
没忍住,1
高冷装,1
姐是,1
老逗,1
咋整,1
有人笑我,1
放屁,1
骂娘,1
装逼者,1
屌丝女,1
怎么怎么,1
丑鬼,1
讨人厌,1
喝大,1
狗似,1
又被骗了,1
装蠢,1
我骗,1
惯你,1
掀桌,1
我这样傻,1
蠢材,1
又瞎,1
wcnm,1
没事干,1
真的好人,1
不仗义,1
很得瑟,1
什么世道,1
土爆,1
不会做人,1
啥也不会,1
困成,1
死老,1
叫兽,1
我失恋,1
倒霉催的,1
真牛,1
毛用,1
死八婆,1
受不鸟,1
没责任感,1
自找罪受,1
很瓜,1
碎嘴,1
笑死个人,1
我好想,1
哎~,1
很悲哀,1
这操,1
我老,1
没事儿,1
凶我,1
男的,1
矮矬穷,1
看段子,1
骂它,1
蓝朋友,1
叫蠢,1
豆小瓣,1
小兔崽子,1
cnmb,1
爱吹牛,1
无聊透顶,1
穷折腾,1
闺密,1
人品差,1
坏的人,1
笑点低,1
shit,1
小屁,1
猪队友,1
自嗨,1
揍你,1
烂俗,1
女汉子吧,1
脸皮真厚,1
各种无语,1
傻妞,1
负心汉,1
破罐破摔,1
我骚,1
哥们,1
low,1
秃子,1
逼个,1
狗带,1
在你眼里,1
伤不起,1
特爱,1
蠢过,1
懂个,1
老妹,1
操你妈逼,1
伪摇滚,1
特么敢,1
讨厌鬼,1
册那,1
不知道啊,1
极品前任,1
你知道嘛,1
胸大无脑,1
好样儿,1
鬼哦,1
安慰你,1
圣人蛋,1
个娘,1
我基,1
我的男人,1
叫装,1
改不了,1
阿哈哈,1
自信爆棚,1
手贱,1
无耻,1
好丑,1
大傻缺,1
地骂,1
普通青年,1
爱嘚瑟,1
莫名奇妙,1
笨女人,1
怂怂,1
莫装,1
我不干了,1
事找事,1
杰宝,1
桑心,1
心疼我,1
发癫,1
丑爆,1
我是傻瓜,1
没谱儿,1
你码,1
跪添,1
装不知道,1
马屁精,1
节操君,1
浪骚,1
我闹,1
骚骚,1
甩脸,1
我笑,1
gay,1
啊…,1
屁眼,1
卖骚,1
悲剧啊,1
揍他,1
骚包,1
欠扁,1
妈呀,1
气着,1
男纸,1
我*,1
当根葱,1
愚蠢,1
真高冷,1
注孤生,1
撩闲,1
女盆友,1
小白痴,1
比你帅,1
没爱过,1
磕碜,1
挨操,1
点儿背,1
爱抬杠,1
笑吧,1
逼儿,1
蛋碎,1
爱骂,1
整死你,1
狗娘养,1
回头想想,1
哼哼哼,1
我爸,1
麻批,1
我好生气,1
呵呵，滚,1
心里难受,1
圣母心,1
不想活,1
微笑脸,1
漂亮姑娘,1
幼稚可笑,1
很无聊,1
骚情,1
不像你,1
大忽悠,1
太鸡贼,1
打嘴炮,1
你没钱,1
懒蛋,1
学傻,1
男淫,1
瞎胡闹,1
我是屌丝,1
太欠,1
哎哟喂,1
口可口可,1
不酷,1
气笑,1
女票,1
说风凉话,1
糊涂虫,1
难受啊,1
心塞死,1
吓哭,1
艰不拆,1
逼起来,1
睡你,1
装逼会,1
苦逼脸,1
一样啊,1
高级黑,1
不服来辩,1
小痞子,1
你奶奶,1
总笑,1
一骂,1
这娃,1
熊样儿,1
女文青,1
小爷,1
我的狗,1
蜜汁自信,1
小混蛋,1
丫装,1
掉节操,1
脑残片,1
你完了,1
杀马特,1
没卵,1
小骚,1
分手的人,1
文艺青年,1
挺丧,1
想笑,1
很心酸,1
妈啊,1
瞎说八道,1
还嘴,1
会骂人,1
疯子说,1
悲催,1
当男神,1
爱演,1
信球,1
狗啊,1
穷挫,1
操你妹,1
想约炮,1
男同事,1
货们,1
开骂,1
自恋,1
承认吧,1
逼该,1
神戳戳,1
蛋疼菊紧,1
郁闷啊,1
混子,1
我是好人,1
勒个,1
不爱你,1
不跟你玩,1
瞧不起,1
臭人,1
别当,1
爆粗,1
追姑娘,1
笑什么笑,1
炮友,1
孬货,1
习惯就好,1
ＴＭ,1
狗屁不通,1
往死里,1
蛋痛,1
当小三,1
顶烦,1
特么算,1
爱谁谁,1
白眼儿,1
小逗比,1
到家了,1
小流氓,1
别赞,1
胆小鬼,1
不傻,1
愚不可及,1
干屁,1
渣成,1
唉唉唉,1
表理,1
狗血喷头,1
去死去死,1
大男生,1
当爷,1
欺骗感情,1
丫头片子,1
骂脏,1
玩你,1
窝囊,1
说不过,1
很瞎,1
花痴,1
欠日,1
挺操,1
妈卖,1
丧病,1
刀狗,1
这渣,1
超烦,1
装逼好,1
真倒霉,1
我糙,1
段友,1
嘴巴子,1
来气,1
好伤心,1
死爹,1
什么啊,1
屁孩,1
神经兮兮,1
团队牛,1
丑胖,1
脏心烂肺,1
够笨,1
啥人,1
